0,24
0,37
0,14
0,21
0,11
0,44
0,3
0,19
1,30
1,13
1,35
1,33
1,16
1,25
1,2
2,30
2,41
2,20
2,22
2,24
2,11
3,8
3,16
3,17
3,9
4,14
4,36
4,25
4,28
4,23
4,39
4,10
5,27
5,42
5,14
5,30
5,41
5,35
5,36
5,48
5,44
5,31
5,40
6,11
6,29
6,30
6,44
6,27
6,35
6,28
6,22
7,13
7,26
7,22
7,37
7,28
8,14
8,31
8,47
8,29
8,37
8,25
9,17
9,20
9,25
9,38
9,46
9,23
9,31
9,11
9,16
9,15
9,37
10,49
10,25
10,39
10,42
10,47
10,44
11,45
11,24
11,41
11,18
11,34
11,20
11,23
12,32
12,40
12,41
12,34
12,43
12,14
12,23
12,29
12,33
13,27
13,42
13,48
13,24
13,49
13,30
13,22
14,20
14,22
14,39
14,43
14,38
14,15
14,16
14,35
14,46
15,34
15,24
15,48
15,17
15,36
16,44
16,38
16,48
17,32
17,27
17,23
17,18
17,25
18,30
18,49
19,34
19,41
19,20
19,45
20,43
20,34
21,48
21,27
21,46
21,36
21,26
22,43
22,46
22,38
22,34
22,44
23,28
24,43
24,32
25,32
25,47
25,41
25,34
26,33
26,40
26,43
26,34
26,45
26,27
27,36
27,44
27,45
27,32
28,34
28,41
29,42
29,37
29,40
29,34
29,38
30,46
30,45
30,48
31,46
31,48
31,44
31,41
32,40
32,41
32,43
33,49
33,42
34,43
34,49
34,38
34,42
35,48
35,36
35,44
36,43
37,49
37,46
37,39
37,40
38,39
38,45
38,43
38,47
38,49
39,47
41,42
42,47
43,48
47,49
