0,2
0,3
0,37
0,33
0,10
0,11
0,12
0,34
0,16
0,35
0,21
0,26
0,30
1,32
1,2
1,3
1,36
1,6
1,11
1,4
1,29
2,34
2,3
2,4
2,12
2,35
2,32
2,23
2,24
2,36
2,26
2,28
2,37
3,4
3,6
3,7
3,8
3,31
3,10
3,17
3,20
3,36
3,26
3,27
4,5
4,6
4,7
4,8
4,19
4,22
4,25
4,33
4,37
5,6
5,8
5,12
5,15
5,22
5,23
5,28
5,30
6,9
6,13
6,16
6,18
6,35
6,22
6,37
7,19
7,11
7,14
7,18
7,35
7,36
7,31
8,34
8,10
8,13
8,16
8,24
8,30
9,34
9,35
9,37
9,13
9,16
9,23
9,30
9,31
10,33
10,32
10,14
10,15
10,16
10,35
10,28
10,31
11,34
11,13
11,14
11,15
11,16
11,19
11,26
12,13
12,15
12,16
12,24
12,27
12,28
13,35
13,37
13,14
13,16
13,26
14,36
14,37
14,16
14,17
14,18
14,29
15,33
15,16
15,17
15,19
15,20
15,23
15,29
16,20
16,21
16,23
17,36
17,20
17,21
17,22
18,36
18,19
18,20
18,22
18,27
19,20
19,21
19,22
19,26
19,30
19,31
20,22
20,23
20,28
20,31
21,35
21,36
21,23
21,24
21,26
21,30
22,23
22,24
22,25
23,33
23,27
23,30
24,26
24,27
24,29
24,30
25,26
25,27
25,28
25,30
26,27
26,28
27,32
27,28
27,29
28,34
28,29
28,31
29,32
29,33
29,35
29,37
30,34
31,34
31,35
31,37
32,34
33,37
34,35
34,37
